Brand_Code,Brand_Name,Manufacturer_Ref,Country_Of_Origin,Status
BRD-01,Daawat,LT Foods Ltd,India,ACTIVE
BRD-02,Everest,Everest Spices Pvt Ltd,India,ACTIVE
BRD-03,Parachute,Marico Limited,India,ACTIVE
BRD-04,Kinley,Coca-Cola Beverages,India,ACTIVE
BRD-05,Cadbury,Mondelez India Foods,India,ACTIVE
BRD-06,Eggoz,Nurture Organics,India,ACTIVE
BRD-07,BakeHouse,BakeHouse Confectionery,India,ACTIVE
BRD-08,Cello,Cello World Ltd,India,ACTIVE
BRD-09,Bombay Dyeing,Bombay Dyeing & Mfg Co,India,ACTIVE
BRD-10,Trident,Trident Limited,India,ACTIVE
BRD-11,AIroPOS Promo,InHouse Merchandise,India,ACTIVE
