Manufacturer_Code,Manufacturer_Name,GSTIN,City,Status
MFR-01,LT Foods Ltd,07AAACL1234A1Z0,New Delhi,ACTIVE
MFR-02,Everest Spices Pvt Ltd,27AAACE5678B1Z1,Mumbai,ACTIVE
MFR-03,Marico Limited,27AAACM9012C1Z2,Mumbai,ACTIVE
MFR-04,Coca-Cola Beverages,27AAACC3456D1Z3,Mumbai,ACTIVE
MFR-05,Mondelez India Foods,27AAACM7890E1Z4,Mumbai,ACTIVE
MFR-06,Nurture Organics,06AAACN2345F1Z5,Gurugram,ACTIVE
MFR-07,BakeHouse Confectionery,27AAACB6789G1Z6,Pune,ACTIVE
MFR-08,Cello World Ltd,27AAACC0123H1Z7,Mumbai,ACTIVE
MFR-09,Bombay Dyeing & Mfg Co,27AAACB4567I1Z8,Mumbai,ACTIVE
MFR-10,Trident Limited,03AAACT8901J1Z9,Ludhiana,ACTIVE
MFR-11,InHouse Merchandise,27AAACI2345K1Z0,Mumbai,ACTIVE
