Barcode,Base_Product_Name,Category,Sub_Category,Brand_Name,Manufacturer_Name,Variant_Name,UOM,Unit_Value,HSN_Code,Tax_Percent,Cess_Percent,Stop_Order_Qty,Status,Is_Free_Item,Scenario_Type,Expected_Result
8906014640011,Basmati Rice Premium,Grocery,Food Grains,Daawat,LT Foods Ltd,5kg Pack,kg,1,10063020,0,0,5,ACTIVE,FALSE,Valid_kg,SUCCESS
8901058852210,Kashmir Saffron,Grocery,Spices & Masalas,Everest,Everest Spices Pvt Ltd,1g Blister,g,1,09102010,5,0,20,ACTIVE,FALSE,Valid_g,SUCCESS
8901764012015,Coconut Cooking Oil,Grocery,Edible Oils,Parachute,Marico Limited,1 Litre Bottle,l,1,15131900,5,0,10,ACTIVE,FALSE,Valid_l,SUCCESS
8902080005012,Sparkling Club Soda,Beverages,Carbonated Drinks,Kinley,Coca-Cola Beverages,300ml Can,ml,1,22011010,28,12,50,ACTIVE,FALSE,Valid_ml,SUCCESS
8901030383120,Dairy Milk Silk,Snacks & Foods,Chocolates,Cadbury,Mondelez India Foods,150g Bar,pcs,1,18063200,18,0,15,ACTIVE,FALSE,Valid_pcs,SUCCESS
8908000111221,Farm Fresh Eggs,Dairy & Eggs,Fresh Eggs,Eggoz,Nurture Organics,12 Pack Tray,dozen,1,04072100,0,0,8,ACTIVE,FALSE,Valid_dozen,SUCCESS
8908000111222,Gourmet Cupcakes,Bakery,Pastries & Cakes,BakeHouse,BakeHouse Confectionery,6 Pack Box,half-dozen,1,19059010,18,0,6,ACTIVE,FALSE,Valid_half_dozen,SUCCESS
8907000333011,Opalware Dinner Set,Home & Kitchen,Crockery,Cello,Cello World Ltd,18 Pcs Set,sets,1,69111011,12,0,0,ACTIVE,FALSE,Explicit_Zero_StopOrder,SUCCESS
8907000333022,Pillow Covers Pair,Home & Living,Bed Linen,Bombay Dyeing,Bombay Dyeing & Mfg Co,2-Pack Cover,2 sets,1,63049200,12,0,0,ACTIVE,FALSE,Explicit_Zero_StopOrder,SUCCESS
8907000333033,Luxury Bath Towel Set,Home & Living,Bath Linen,Trident,Trident Limited,4 Towels Pack,4 sets,1,63026000,12,0,4,ACTIVE,FALSE,Valid_4_sets,SUCCESS
8909990001114,Promo Steel Spoon,Home & Kitchen,Cutlery,AIroPOS Promo,InHouse Merchandise,Stainless,pcs,1,82159900,0,0,0,ACTIVE,TRUE,Free_Promo_Item,SUCCESS
8906014640011,Duplicate Rice Barcode,Grocery,Food Grains,Daawat,LT Foods Ltd,5kg Pack,kg,1,10063020,0,0,5,ACTIVE,FALSE,Negative_DuplicateBarcode,FAIL_CONFLICT
8901112223334,,Grocery,Food Grains,Generic,Generic Supply,1 Pack,pcs,1,10063020,0,0,5,ACTIVE,FALSE,Negative_MissingBaseProduct,FAIL_VALIDATION
8901112223335,Instant Soup,,,Knorr,HUL Ltd,50g Pouch,pcs,1,21041000,18,0,0,ACTIVE,FALSE,Negative_MissingCategory,FAIL_VALIDATION
8901112223336,Instant Noodles,Snacks & Foods,Noodles,Maggi,Nestle India,70g Pack,meters,1,19023010,18,0,0,ACTIVE,FALSE,Negative_InvalidUOM,FAIL_VALIDATION
