HSN_Code,Description,CGST_Percent,SGST_Percent,IGST_Percent,Total_Tax_Percent,Cess_Percent
10063020,Basmati Rice (Packaged/Branded),0.0,0.0,0.0,0.0,0.0
04072100,Fresh Poultry Eggs,0.0,0.0,0.0,0.0,0.0
82159900,Stainless Steel Cutlery,0.0,0.0,0.0,0.0,0.0
09102010,Saffron (Kesar) in retail packs,2.5,2.5,5.0,5.0,0.0
15131900,Coconut Oil in edible packaging,2.5,2.5,5.0,5.0,0.0
69111011,Ceramic & Opalware Tableware,6.0,6.0,12.0,12.0,0.0
63049200,Cotton Pillow Covers,6.0,6.0,12.0,12.0,0.0
63026000,Toilet & Kitchen Linen (Towels),6.0,6.0,12.0,12.0,0.0
18063200,Chocolates containing cocoa,9.0,9.0,18.0,18.0,0.0
19059010,Pastries Cakes Baked Goods,9.0,9.0,18.0,18.0,0.0
22011010,Aerated Mineral Water / Soda,14.0,14.0,28.0,28.0,12.0
